run,segment_idx,t_start_s,t_end_s,n_samples,mean_step_deg,median_step_deg,max_step_deg,alpha_lmin_0.5,n_tail_0.5,alpha_lmin_1.0,n_tail_1.0,alpha_lmin_2.0,n_tail_2.0,beta_msd
Angel1-levy-flight-eyeTr-2025-12-02-13-13-12,0,0.0,10.0,2000,0.13882352547971966,0.024196074061714822,2.9052427523358526,2.0870188020377016,139,3.29119405886284,98,6.964705667786827,16,1.3306494596391918
Angel1-levy-flight-eyeTr-2025-12-02-13-13-12,1,10.0,20.0,1973,0.13174922569749156,0.028287888556050494,10.437863902638316,2.0976819964934714,108,3.200046881989008,76,4.685198210907665,11,1.3126604872840708
Angel1-levy-flight-eyeTr-2025-12-02-13-13-12,2,20.0,30.0,1976,0.11933138436760074,0.02096020038072104,3.72660809986776,2.288139624369133,121,3.1998004942385974,63,4.7998127979053,14,1.3257630670133238
Angel1-levy-flight-eyeTr-2025-12-02-13-13-12,3,30.0,40.0,1968,0.19031602726469926,0.02938996427354244,8.644601240658819,2.2028558808403806,195,2.630426949177108,107,4.202008631756444,36,1.3782747624772123
Angel1-levy-flight-eyeTr-2025-12-02-13-13-12,4,40.0,50.0,1999,0.0926959513946424,0.017190402085478614,3.226082133176401,2.241102204624136,90,2.8033121502995932,49,5.558085164980408,13,1.342242479569134
Angel1-levy-flight-eyeTr-2025-12-02-13-13-12,5,50.0,60.0,1970,0.18489851523841078,0.01927744796387728,39.10351582159844,1.9837656343858099,136,2.7444767684661526,101,3.1242718688918845,29,1.2005835143642374
Angel1-levy-flight-eyeTr-2025-12-02-13-13-12,6,60.0,60.544,109,0.07291200608063318,0.02692413612823229,1.4624215329377512,,2,,1,,0,1.3877025644437362
Iago-levy-flight-eyeTr-2025-12-02-13-18-19,0,0.0,10.0,2000,0.6398079303785866,0.13005064398149097,22.558580004291052,1.8623233130527588,468,2.267536617191361,338,2.9523733663976373,172,0.9231887216989718
Iago-levy-flight-eyeTr-2025-12-02-13-18-19,1,10.0,20.0,1999,0.32110993501844426,0.09086456846075519,7.679149062884507,2.3750285934047684,371,2.688850196984729,163,4.2415936518140915,62,1.2149127047080954
Iago-levy-flight-eyeTr-2025-12-02-13-18-19,2,20.0,30.0,1999,0.549897812632463,0.08219640794857411,41.4121706754186,2.0859365198039983,394,2.376652189307119,210,2.1674488345053673,77,0.780937304251783
Iago-levy-flight-eyeTr-2025-12-02-13-18-19,3,30.0,40.0,1999,0.6282681715687005,0.11026146185533152,16.49110179126913,1.9425116335657422,503,2.2304665082811588,308,2.419331826207302,144,1.1562843396325773
Iago-levy-flight-eyeTr-2025-12-02-13-18-19,4,40.0,50.0,1999,0.3922099750022241,0.09114829256745245,6.4293510784526315,2.0937736482783764,408,2.4813031886707853,237,4.25478983052861,114,1.2292318482790654
Iago-levy-flight-eyeTr-2025-12-02-13-18-19,5,50.0,60.0,1970,0.3976221497774561,0.0903044849384572,14.310868432768153,1.989366260404605,330,2.2807984093864198,204,3.507473886902905,114,1.1998690447389142
Iago-levy-flight-eyeTr-2025-12-02-13-18-19,6,60.0,60.72,130,1.087059843604816,0.2918061856780968,26.687943011404982,1.89027586840492,39,1.9082728982229336,22,2.153485415148288,14,0.5620998984661227
Ravi-levy-flight-eyeTr-2025-12-02-13-22-45,0,0.0,10.0,2000,0.11730210187558343,0.021691011963483955,3.14752692283958,2.0606935338582915,109,3.0715584396295292,78,7.080860287254715,21,1.3209494001430728
Ravi-levy-flight-eyeTr-2025-12-02-13-22-45,1,10.0,20.0,1980,0.1636867582886076,0.023817010727629435,3.4409323678328843,1.9653577127615787,155,2.7460023984857695,118,7.677189207364279,46,1.3612482560054537
